Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
Proliferative Retinopathy,Non Vegetarian,Lunch,"Daliya Upma, Egg Bhurji, Oats Chilla, Palak Paneer, Rajma Pulao, Sprouted Chana Salad",38,11,9,11,372,Swimming,Deep Fried Items,26-35,Central,21.3,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Mild Retinopathy,Vegan,Dinner,"Egg Muffins, Jeera Rice, Kadhi Pakora, Palak Kofta, Pumpkin Dal, Rava Idli",50,13,9,11,332,Strength Training,Deep Fried Items,36-45,East,22,Exercise regularly to maintain healthy weight and sugar levels.,Friday
Mild Retinopathy,Non Vegetarian,Breakfast,"Bisi Bele Bath, Masala Idli, Methi Thepla, Pumpkin Dal, Rava Idli, Stuffed Capsicum",33,7,19,11,284,Strength Training,Refined Flour,36-45,West,26.3,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Mild Retinopathy,Vegetarian,Lunch,"Aloo Paratha, Chana Sundal, Kadhi Pakora, Masoor Dal, Paneer Cutlet, Tofu Bhurji",37,9,21,14,299,Stretching,Processed Foods,46-60,South,19.6,Get enough sleep to support overall health.,Wednesday
Mild Retinopathy,Non Vegetarian,Lunch,"Baingan Bharta, Boiled Egg Salad, Chicken Sandwich, Handvo, Lauki Curry, Mutton Seekh",48,7,15,7,513,Cycling,Deep Fried Items,18-25,South,24,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Moderate Retinopathy,Vegan,Lunch,"Barley Risotto, Barnyard Millet Pongal, Chia Pudding, Chickpea Curry, Paneer Cutlet, Vegetable Handvo",49,12,17,14,358,Strength Training,Soft Drinks,36-45,East,22.8,Limit your intake of caffeine and alcohol.,Thursday
Severe Retinopathy,Non Vegetarian,Lunch,"Bajra Roti, Millet Porridge, Poha, Rajma Pulao, Rava Idli, Spinach Khichdi",49,9,13,8,280,Stretching,Deep Fried Items,46-60,North,29.7,Avoid skipping meals and maintain consistent meal timings.,Thursday
Severe Retinopathy,Vegan,Lunch,"Egg Paratha, Fish Curry, Jeera Rice, Masala Idli, Palak Paneer, Pumpkin Dal",31,9,10,10,397,Yoga,Excess Salt,46-60,Central,21.2,"Eat small, frequent meals to maintain blood sugar levels.",Monday
No retinopathy,Non Vegetarian,Dinner,"Barley Risotto, Lauki Curry, Masala Makhanas, Rajma Curry, Roasted Foxnuts, Tandoori Chicken",39,8,8,14,373,Yoga,Sugary Foods,18-25,Central,28.7,Avoid skipping meals and maintain consistent meal timings.,Friday
Moderate Retinopathy,Vegan,Snacks,"Cucumber Raita, Egg Paratha, Rajma Pulao, Stuffed Capsicum, Vegetable Handvo, Vegetable Upma",44,13,22,14,485,Brisk Walking,Sugary Foods,26-35,West,26.4,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Mild Retinopathy,Non Vegetarian,Breakfast,"Bisi Bele Bath, Cabbage Stir Fry, Chole with Bhatura, Cucumber Raita, Lauki Curry, Masala Makhanas",30,13,15,14,344,Swimming,Sugary Foods,36-45,East,29.3,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Mild Retinopathy,Vegetarian,Dinner,"Bajra Roti, Barnyard Millet Pongal, Boiled Egg Salad, Fish Curry, Palak Kofta, Vegan Dum Biryani",55,9,19,5,315,Brisk Walking,Sugary Foods,60+,East,29,Practice mindfulness and stress-reducing activities.,Saturday
No retinopathy,Non Vegetarian,Dinner,"Chickpea Curry, Methi Paratha, Millet Porridge, Pumpkin Dal, Quinoa Salad, Stuffed Tinda",53,14,19,10,398,Strength Training,Refined Flour,46-60,West,28.4,Keep a food diary to monitor your eating habits.,Saturday
Proliferative Retinopathy,Vegan,Lunch,"Coconut Chutney, Lauki Kofta, Methi Thepla, Rajma Pulao, Stuffed Capsicum, Vegetable Handvo",30,9,20,10,299,Strength Training,Refined Flour,60+,East,21.5,Limit your intake of caffeine and alcohol.,Monday
No retinopathy,Vegetarian,Dinner,"Barley Risotto, Handvo, Masala Idli, Multigrain Sandwich, Sweet Corn Salad, Vegan Dum Biryani",40,11,21,6,358,Brisk Walking,Refined Flour,26-35,North,28,Practice mindfulness and stress-reducing activities.,Friday
Severe Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Bisi Bele Bath, Green Gram Curry, Moong Dal Chilla, Multigrain Sandwich, Sweet Potato Hash",53,8,11,11,314,Yoga,Refined Flour,46-60,West,26.8,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Mild Retinopathy,Non Vegetarian,Lunch,"Amaranth Dal, Barley Risotto, Chicken Sandwich, Kadhi with Rice, Masala Egg Toast, Roasted Foxnuts",41,7,12,12,439,Strength Training,Sugary Foods,46-60,Central,29.1,Avoid skipping meals and maintain consistent meal timings.,Sunday
Severe Retinopathy,Vegan,Breakfast,"Chicken Sandwich, Fish Korma, Green Gram Curry, Millet Porridge, Oats Idli, Turkey Kebab",41,10,12,8,327,Stretching,Excess Salt,60+,East,23.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Sunday
Moderate Retinopathy,Non Vegetarian,Snacks,"Chickpea Curry, Kadhi with Rice, Masala Papad, Sweet Potato Hash, Turkey Kebab, Vegetable Handvo",42,8,19,10,483,Stretching,Refined Flour,46-60,North,25.2,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Proliferative Retinopathy,Vegan,Lunch,"Barley Risotto, Chia Pudding, Chicken Sandwich, Masala Makhanas, Roasted Foxnuts, Sprouted Chana Salad",49,8,11,5,444,Yoga,Refined Flour,26-35,East,22.6,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
No retinopathy,Non Vegetarian,Lunch,"Avocado Toast, Barnyard Millet Pongal, Boiled Egg Salad, Handvo, Moong Dal Chilla, Ragi Dosa",44,13,14,5,514,Brisk Walking,Processed Foods,46-60,North,19.1,Practice mindfulness and stress-reducing activities.,Wednesday
Moderate Retinopathy,Vegan,Dinner,"Baingan Bharta, Chickpea Curry, Chole with Bhatura, Masala Idli, Paneer Cutlet, Roasted Foxnuts",42,9,21,11,387,Brisk Walking,Soft Drinks,36-45,North,23.6,Get enough sleep to support overall health.,Monday
Moderate Retinopathy,Non Vegetarian,Dinner,"Almond Milk Smoothie, Cabbage Stir Fry, Coconut Chutney, Cucumber Raita, Mutton Biryani, Oats Idli",30,6,14,15,451,Cycling,Deep Fried Items,18-25,West,25.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Chicken Stew, Kadhi with Rice, Rava Idli, Tofu Stir Fry, Tomato Shorba, Turkey Kebab",31,10,11,12,453,Stretching,Deep Fried Items,36-45,South,23.1,Avoid skipping meals and maintain consistent meal timings.,Monday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Fish Curry, Mutton Seekh, Poha, Pumpkin Dal, Quinoa Salad, Tofu Stir Fry",53,6,11,12,460,Stretching,Deep Fried Items,60+,East,22.9,Practice mindfulness and stress-reducing activities.,Sunday
Severe Retinopathy,Vegan,Breakfast,"Baingan Bharta, Bajra Roti, Fish Curry, Grilled Salmon, Masala Egg Toast, Stuffed Tinda",39,14,17,7,345,Strength Training,Soft Drinks,60+,North,26.3,Practice mindfulness and stress-reducing activities.,Tuesday
Mild Retinopathy,Vegan,Lunch,"Barnyard Millet Pongal, Boiled Egg Salad, Chole with Bhatura, Millet Porridge, Oats Chilla, Tomato Shorba",39,9,22,7,309,Stretching,Processed Foods,60+,Central,25.4,Get enough sleep to support overall health.,Saturday
Severe Retinopathy,Non Vegetarian,Lunch,"Barley Risotto, Dhokla, Fish Korma, Masoor Dal, Moong Dal Chilla, Quinoa Salad",46,8,22,10,376,Swimming,Deep Fried Items,18-25,Central,21.9,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Moderate Retinopathy,Non Vegetarian,Dinner,"Bisi Bele Bath, Dhokla, Palak Kofta, Sprouted Chana Salad, Stuffed Capsicum, Vegan Dum Biryani",55,8,18,7,431,Yoga,Excess Salt,18-25,West,27.9,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
No retinopathy,Vegetarian,Lunch,"Barley Risotto, Bisi Bele Bath, Palak Kofta, Poha, Ragi Dosa, Spinach Khichdi",43,9,12,5,401,Cycling,Soft Drinks,60+,South,23.2,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Moderate Retinopathy,Non Vegetarian,Snacks,"Amaranth Dal, Barley Risotto, Bisi Bele Bath, Egg Paratha, Fish Curry, Masoor Dal",46,12,21,9,295,Yoga,Excess Salt,36-45,West,23.2,Limit your intake of caffeine and alcohol.,Friday
Proliferative Retinopathy,Vegan,Snacks,"Egg Muffins, Fish Curry, Handvo, Masala Papad, Quinoa Salad, Stuffed Tinda",43,14,14,12,446,Strength Training,Processed Foods,60+,West,25.8,Keep a food diary to monitor your eating habits.,Monday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Amaranth Dal, Cabbage Stir Fry, Chia Pudding, Millet Porridge, Spinach Rice, Stuffed Capsicum",38,11,12,7,489,Yoga,Refined Flour,26-35,Central,18.8,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Mild Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Cabbage Stir Fry, Lauki Curry, Mutton Biryani, Oats Idli, Quinoa Salad",45,8,22,14,389,Stretching,Excess Salt,26-35,North,26.7,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Severe Retinopathy,Vegetarian,Dinner,"Aloo Paratha, Chia Pudding, Cucumber Raita, Egg Muffins, Handvo, Vegan Dum Biryani",46,10,22,8,435,Brisk Walking,Deep Fried Items,26-35,East,18.7,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Mild Retinopathy,Vegetarian,Breakfast,"Aloo Paratha, Dhokla, Lauki Curry, Poha, Roasted Foxnuts, Vegan Dum Biryani",53,13,15,9,376,Strength Training,Soft Drinks,26-35,East,18.7,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Severe Retinopathy,Vegetarian,Lunch,"Amaranth Dal, Bajra Roti, Kadhi Pakora, Kadhi with Rice, Palak Paneer, Tomato Shorba",52,10,13,8,343,Strength Training,Processed Foods,26-35,West,19.4,Keep a food diary to monitor your eating habits.,Saturday
Severe Retinopathy,Vegan,Dinner,"Aloo Paratha, Avocado Toast, Chicken Stew, Kadhi Pakora, Mutton Seekh, Rajma Pulao",33,9,14,7,290,Cycling,Refined Flour,26-35,West,18.6,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Severe Retinopathy,Vegan,Snacks,"Cabbage Stir Fry, Fish Curry, Keema Pulao, Lauki Curry, Lauki Kofta, Quinoa Salad",37,11,16,9,250,Strength Training,Refined Flour,46-60,South,29.4,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Fish Korma, Keema Pulao, Lauki Kofta, Masala Egg Toast, Methi Thepla, Quinoa Salad",45,6,14,7,514,Cycling,Refined Flour,60+,North,26.8,Get enough sleep to support overall health.,Saturday
Severe Retinopathy,Vegan,Lunch,"Bisi Bele Bath, Fish Korma, Lauki Curry, Palak Paneer, Sweet Corn Salad, Vegan Pancakes",46,9,22,5,464,Yoga,Excess Salt,46-60,Central,29.1,"Include high-fiber foods like oats, vegetables, and legumes.",Monday
Moderate Retinopathy,Vegan,Dinner,"Egg Paratha, Mutton Biryani, Paneer Bhurji, Pumpkin Dal, Stuffed Tinda, Turkey Kebab",45,14,13,15,428,Stretching,Sugary Foods,26-35,Central,22.5,Practice mindfulness and stress-reducing activities.,Tuesday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Chole with Bhatura, Gatte ki Sabzi, Masala Idli, Ragi Dosa, Sweet Corn Salad, Vegan Dum Biryani",53,10,8,12,386,Brisk Walking,Sugary Foods,60+,North,27.6,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
Severe Retinopathy,Vegetarian,Dinner,"Avocado Toast, Cucumber Raita, Handvo, Multigrain Sandwich, Stuffed Capsicum, Tofu Stir Fry",30,6,19,6,331,Brisk Walking,Processed Foods,60+,East,25.7,Practice mindfulness and stress-reducing activities.,Sunday
No retinopathy,Vegetarian,Snacks,"Amaranth Dal, Kadhi Pakora, Lauki Curry, Lauki Kofta, Sweet Potato Hash, Vegetable Upma",39,11,21,7,267,Strength Training,Soft Drinks,46-60,South,18.7,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Mild Retinopathy,Vegetarian,Lunch,"Egg Bhurji, Keema Pulao, Lauki Curry, Methi Thepla, Millet Porridge, Tandoori Chicken",39,10,13,7,319,Stretching,Soft Drinks,36-45,East,29.5,Limit your intake of caffeine and alcohol.,Tuesday
Moderate Retinopathy,Non Vegetarian,Snacks,"Chicken Stew, Chickpea Curry, Lauki Kofta, Masala Idli, Paneer Bhurji, Rajma Pulao",41,6,21,14,277,Brisk Walking,Deep Fried Items,46-60,North,21.9,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
Proliferative Retinopathy,Vegetarian,Dinner,"Chia Pudding, Egg Bhurji, Mutton Biryani, Pumpkin Soup, Ragi Dosa, Vegetable Handvo",43,13,10,5,294,Cycling,Processed Foods,18-25,South,21.6,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Severe Retinopathy,Vegan,Snacks,"Amaranth Dal, Jeera Rice, Multigrain Sandwich, Stuffed Capsicum, Tandoori Chicken, Vegetable Upma",44,7,18,15,438,Strength Training,Soft Drinks,26-35,Central,26.2,Limit your intake of caffeine and alcohol.,Monday
Proliferative Retinopathy,Vegan,Lunch,"Gatte ki Sabzi, Grilled Salmon, Masala Papad, Mutton Biryani, Rajma Pulao, Roasted Foxnuts",30,10,15,11,290,Strength Training,Excess Salt,60+,West,19.6,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
No retinopathy,Vegetarian,Dinner,"Boiled Egg Salad, Chana Sundal, Masala Makhanas, Millet Porridge, Spinach Khichdi, Turkey Kebab",41,8,12,8,311,Brisk Walking,Excess Salt,46-60,West,18.5,Avoid skipping meals and maintain consistent meal timings.,Monday
Severe Retinopathy,Non Vegetarian,Breakfast,"Aloo Paratha, Bajra Roti, Chickpea Curry, Handvo, Masoor Dal, Paneer Cutlet",52,12,21,12,255,Strength Training,Excess Salt,46-60,West,25.1,Keep a food diary to monitor your eating habits.,Wednesday
Severe Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Baingan Bharta, Gatte ki Sabzi, Lauki Kofta, Stuffed Capsicum, Turkey Kebab",39,12,18,10,266,Swimming,Refined Flour,60+,Central,22.4,Practice mindfulness and stress-reducing activities.,Friday
No retinopathy,Vegetarian,Lunch,"Avocado Toast, Bisi Bele Bath, Cabbage Stir Fry, Paneer Cutlet, Stuffed Tinda, Sweet Potato Hash",34,13,13,13,407,Yoga,Sugary Foods,60+,West,18.8,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
Moderate Retinopathy,Vegan,Breakfast,"Almond Milk Smoothie, Barley Risotto, Bisi Bele Bath, Chana Sundal, Egg Bhurji, Turkey Kebab",51,11,10,5,299,Strength Training,Deep Fried Items,60+,Central,20.2,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Mild Retinopathy,Vegan,Breakfast,"Chicken Sandwich, Kadhi Pakora, Masala Idli, Methi Paratha, Spinach Rice, Sweet Corn Salad",52,13,22,15,252,Cycling,Processed Foods,46-60,Central,24.8,Get enough sleep to support overall health.,Saturday
No retinopathy,Non Vegetarian,Breakfast,"Chicken Sandwich, Chickpea Curry, Oats Chilla, Palak Paneer, Pumpkin Soup, Turkey Kebab",38,10,17,11,326,Strength Training,Excess Salt,46-60,North,28.6,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Severe Retinopathy,Vegetarian,Dinner,"Barley Risotto, Egg Bhurji, Fish Curry, Keema Pulao, Millet Porridge, Tofu Bhurji",31,10,8,7,515,Yoga,Processed Foods,36-45,East,29,"Eat small, frequent meals to maintain blood sugar levels.",Monday
No retinopathy,Vegan,Dinner,"Bajra Roti, Handvo, Keema Pulao, Methi Thepla, Millet Porridge, Paneer Cutlet",41,10,15,12,339,Stretching,Deep Fried Items,46-60,North,26.2,Get enough sleep to support overall health.,Saturday
Proliferative Retinopathy,Vegetarian,Dinner,"Cabbage Stir Fry, Coconut Chutney, Fish Korma, Masala Egg Toast, Mutton Biryani, Tandoori Chicken",41,12,18,6,311,Cycling,Sugary Foods,36-45,West,29.5,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
Moderate Retinopathy,Vegetarian,Snacks,"Chickpea Curry, Cucumber Raita, Moong Dal Chilla, Rajma Pulao, Sweet Corn Salad, Turkey Kebab",43,6,11,15,287,Strength Training,Soft Drinks,60+,East,18.2,Exercise regularly to maintain healthy weight and sugar levels.,Thursday
Moderate Retinopathy,Non Vegetarian,Lunch,"Dhokla, Fish Curry, Keema Pulao, Moong Dal Chilla, Pumpkin Dal, Sweet Corn Salad",32,7,22,12,514,Yoga,Deep Fried Items,36-45,North,27.3,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Proliferative Retinopathy,Vegetarian,Breakfast,"Avocado Toast, Baingan Bharta, Gatte ki Sabzi, Kadhi with Rice, Mutton Seekh, Sweet Corn Salad",54,14,14,6,254,Yoga,Deep Fried Items,46-60,West,25.8,Avoid skipping meals and maintain consistent meal timings.,Friday
Severe Retinopathy,Vegan,Lunch,"Barley Risotto, Chia Pudding, Cucumber Raita, Fish Curry, Moong Dal Chilla, Quinoa Salad",36,6,13,8,269,Cycling,Refined Flour,36-45,East,21.9,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Mild Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Amaranth Dal, Egg Muffins, Millet Porridge, Rajma Curry, Tandoori Chicken",36,10,15,6,300,Yoga,Excess Salt,60+,East,25.3,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
No retinopathy,Vegetarian,Breakfast,"Chana Sundal, Chickpea Curry, Gatte ki Sabzi, Kadhi with Rice, Methi Paratha, Vegetable Upma",34,7,22,15,362,Brisk Walking,Sugary Foods,36-45,North,28.3,Keep a food diary to monitor your eating habits.,Saturday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Almond Milk Smoothie, Avocado Toast, Egg Bhurji, Keema Pulao, Paneer Cutlet, Vegetable Handvo",37,9,9,7,316,Yoga,Soft Drinks,18-25,West,22.6,Practice mindfulness and stress-reducing activities.,Sunday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Kadhi Pakora, Masala Egg Toast, Masala Makhanas, Mutton Seekh, Tofu Stir Fry, Turkey Kebab",49,7,8,14,468,Yoga,Soft Drinks,18-25,South,26.6,Avoid skipping meals and maintain consistent meal timings.,Sunday
No retinopathy,Vegetarian,Lunch,"Aloo Paratha, Amaranth Dal, Bajra Roti, Chicken Sandwich, Mutton Seekh, Spinach Khichdi",43,6,16,9,470,Brisk Walking,Excess Salt,46-60,Central,19.6,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Severe Retinopathy,Non Vegetarian,Dinner,"Baingan Bharta, Bajra Roti, Chole with Bhatura, Green Gram Curry, Kadhi Pakora, Vegetable Daliya",38,13,19,13,328,Brisk Walking,Deep Fried Items,36-45,South,24.7,Exercise regularly to maintain healthy weight and sugar levels.,Thursday
No retinopathy,Vegetarian,Snacks,"Bajra Roti, Boiled Egg Salad, Chia Pudding, Chole with Bhatura, Masala Papad, Rava Idli",35,10,16,8,254,Cycling,Excess Salt,26-35,South,26.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Severe Retinopathy,Vegetarian,Lunch,"Chicken Stew, Masala Idli, Masala Makhanas, Millet Porridge, Palak Paneer, Tofu Bhurji",41,8,12,6,332,Cycling,Deep Fried Items,36-45,West,25.8,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Moderate Retinopathy,Non Vegetarian,Lunch,"Amaranth Dal, Avocado Toast, Jeera Rice, Paneer Bhurji, Sweet Corn Salad, Turkey Kebab",40,7,20,7,462,Strength Training,Excess Salt,36-45,North,19.3,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Mild Retinopathy,Non Vegetarian,Lunch,"Cucumber Raita, Keema Pulao, Moong Dal Chilla, Multigrain Sandwich, Rajma Curry, Sweet Corn Salad",50,10,18,15,505,Strength Training,Deep Fried Items,60+,West,18.4,Practice mindfulness and stress-reducing activities.,Monday
Mild Retinopathy,Non Vegetarian,Lunch,"Bisi Bele Bath, Grilled Salmon, Mutton Biryani, Poha, Rava Idli, Turkey Kebab",43,11,20,14,292,Stretching,Sugary Foods,26-35,South,25.1,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Severe Retinopathy,Vegetarian,Snacks,"Avocado Toast, Coconut Chutney, Fish Korma, Jeera Rice, Tomato Shorba, Vegetable Daliya",33,6,11,6,388,Stretching,Soft Drinks,36-45,East,22.8,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
No retinopathy,Vegan,Lunch,"Coconut Chutney, Fish Curry, Jeera Rice, Kadhi with Rice, Masala Papad, Stuffed Tinda",36,6,14,11,406,Yoga,Soft Drinks,26-35,Central,26,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
No retinopathy,Vegetarian,Lunch,"Daliya Upma, Fish Curry, Keema Pulao, Palak Kofta, Pumpkin Soup, Tofu Stir Fry",44,12,19,10,448,Strength Training,Processed Foods,18-25,South,28.9,Get enough sleep to support overall health.,Sunday
Moderate Retinopathy,Vegan,Breakfast,"Chana Sundal, Jeera Rice, Keema Pulao, Masala Egg Toast, Paneer Bhurji, Sprouted Chana Salad",53,10,14,6,397,Swimming,Processed Foods,26-35,East,25.8,Avoid skipping meals and maintain consistent meal timings.,Friday
Proliferative Retinopathy,Vegan,Lunch,"Aloo Paratha, Barnyard Millet Pongal, Dhokla, Fish Curry, Lauki Curry, Tomato Shorba",54,11,13,15,284,Yoga,Soft Drinks,26-35,West,22.3,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Proliferative Retinopathy,Vegan,Dinner,"Cabbage Stir Fry, Handvo, Multigrain Sandwich, Ragi Dosa, Tofu Bhurji, Vegetable Handvo",45,10,16,5,474,Stretching,Soft Drinks,26-35,South,18.3,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Moderate Retinopathy,Vegetarian,Breakfast,"Amaranth Dal, Egg Paratha, Grilled Salmon, Methi Paratha, Oats Idli, Quinoa Salad",36,9,8,11,401,Swimming,Refined Flour,60+,West,20.9,Keep a food diary to monitor your eating habits.,Friday
Severe Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Bajra Roti, Handvo, Roasted Foxnuts, Sweet Corn Salad, Tomato Shorba",52,10,18,12,516,Brisk Walking,Soft Drinks,26-35,North,29.4,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
No retinopathy,Vegan,Snacks,"Egg Bhurji, Lauki Kofta, Masala Egg Toast, Masala Papad, Pumpkin Dal, Vegetable Upma",46,12,22,8,476,Brisk Walking,Sugary Foods,36-45,South,18.8,Get enough sleep to support overall health.,Saturday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Amaranth Dal, Boiled Egg Salad, Chana Sundal, Chole with Bhatura, Grilled Salmon, Paneer Bhurji",34,12,17,12,469,Brisk Walking,Deep Fried Items,18-25,Central,23.1,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Cabbage Stir Fry, Chickpea Curry, Cucumber Raita, Egg Muffins, Stuffed Tinda, Vegetable Daliya",54,14,18,5,315,Yoga,Processed Foods,46-60,West,22.6,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Severe Retinopathy,Vegan,Snacks,"Coconut Chutney, Fish Curry, Green Gram Curry, Palak Kofta, Turkey Kebab, Vegetable Daliya",40,9,14,8,357,Yoga,Processed Foods,26-35,Central,21.8,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Moderate Retinopathy,Non Vegetarian,Snacks,"Avocado Toast, Fish Korma, Kadhi with Rice, Methi Thepla, Ragi Dosa, Tandoori Chicken",41,11,18,9,433,Cycling,Processed Foods,36-45,North,22.8,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
No retinopathy,Vegetarian,Snacks,"Masala Egg Toast, Masala Idli, Millet Porridge, Mutton Biryani, Spinach Rice, Sprouted Chana Salad",41,10,18,11,345,Swimming,Sugary Foods,36-45,North,27.6,Get enough sleep to support overall health.,Tuesday
No retinopathy,Vegan,Breakfast,"Grilled Salmon, Methi Paratha, Mutton Biryani, Ragi Dosa, Stuffed Tinda, Vegetable Daliya",31,11,11,10,458,Cycling,Processed Foods,60+,North,24.2,Avoid skipping meals and maintain consistent meal timings.,Wednesday
Proliferative Retinopathy,Vegan,Lunch,"Baingan Bharta, Barley Risotto, Chicken Sandwich, Stuffed Capsicum, Sweet Corn Salad, Vegan Dum Biryani",50,12,15,9,429,Stretching,Soft Drinks,60+,South,18.1,Avoid skipping meals and maintain consistent meal timings.,Wednesday
Mild Retinopathy,Non Vegetarian,Dinner,"Almond Milk Smoothie, Barley Risotto, Coconut Chutney, Methi Paratha, Mutton Biryani, Rava Idli",53,11,15,10,331,Cycling,Processed Foods,36-45,East,23.4,Exercise regularly to maintain healthy weight and sugar levels.,Wednesday
Proliferative Retinopathy,Vegan,Lunch,"Cucumber Raita, Daliya Upma, Dhokla, Paneer Bhurji, Rajma Pulao, Vegetable Upma",54,8,8,8,254,Strength Training,Deep Fried Items,18-25,Central,18.7,Get enough sleep to support overall health.,Monday
Mild Retinopathy,Vegetarian,Breakfast,"Grilled Salmon, Jeera Rice, Methi Thepla, Moong Dal Chilla, Multigrain Sandwich, Stuffed Capsicum",49,12,18,14,267,Swimming,Soft Drinks,18-25,West,19.7,Avoid skipping meals and maintain consistent meal timings.,Sunday
No retinopathy,Vegan,Lunch,"Baingan Bharta, Boiled Egg Salad, Chia Pudding, Chickpea Curry, Mutton Seekh, Turkey Kebab",50,7,8,11,472,Swimming,Deep Fried Items,36-45,Central,25.5,Get enough sleep to support overall health.,Friday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Barley Risotto, Boiled Egg Salad, Egg Paratha, Grilled Salmon, Millet Porridge, Roasted Foxnuts",48,7,11,13,490,Yoga,Deep Fried Items,36-45,Central,29,Keep a food diary to monitor your eating habits.,Sunday
Severe Retinopathy,Non Vegetarian,Lunch,"Baingan Bharta, Chole with Bhatura, Grilled Salmon, Mutton Seekh, Oats Idli, Rajma Pulao",31,8,12,11,461,Brisk Walking,Processed Foods,60+,South,19.8,"Include high-fiber foods like oats, vegetables, and legumes.",Monday
No retinopathy,Vegetarian,Breakfast,"Coconut Chutney, Green Gram Curry, Millet Porridge, Oats Idli, Vegetable Daliya, Vegetable Upma",53,7,17,11,324,Cycling,Sugary Foods,60+,East,18.1,Practice mindfulness and stress-reducing activities.,Sunday
Moderate Retinopathy,Vegetarian,Lunch,"Bajra Roti, Chole with Bhatura, Jeera Rice, Masala Idli, Masala Papad, Vegetable Daliya",35,9,16,6,375,Swimming,Processed Foods,46-60,South,22.9,Get enough sleep to support overall health.,Wednesday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Coconut Chutney, Egg Paratha, Gatte ki Sabzi, Multigrain Sandwich, Pumpkin Soup, Tofu Bhurji",50,10,17,10,411,Strength Training,Sugary Foods,26-35,East,25.9,"Eat small, frequent meals to maintain blood sugar levels.",Friday
